oferta_id,fecha,producto,precio,tienda,categoria
PA-011-18706a6a46929914-bdecc,2025-10-21 05:27:38,Herramientas Mini,44395,Parisio,Herramientas
RI-010-18706a6a470d13af-26e1c,2025-10-21 05:27:38,Automotriz Mini,233265,Riploy,Automotriz
FA-038-18706a6aa13c8233-efb75,2025-10-21 05:27:40,Deportes Ultra,43353,Falabellox,Deportes
PA-018-18706a6abf1a7410-d631b,2025-10-21 05:27:41,Deportes Mini,227458,Parisio,Deportes
RI-003-18706a6abfedcec1-9de40,2025-10-21 05:27:41,Infantil Max,111408,Riploy,Infantil
FA-038-18706a6b192d96b2-df01a,2025-10-21 05:27:42,Deportes Ultra,51301,Falabellox,Deportes
PA-023-18706a6b371783fd-906a4,2025-10-21 05:27:43,Deportes Pro,212622,Parisio,Deportes
RI-036-18706a6b382b8b99-2d198,2025-10-21 05:27:43,Mascotas Smart,189529,Riploy,Mascotas
FA-043-18706a6b919b3150-3c388,2025-10-21 05:27:44,Computación Pro,51237,Falabellox,Computación
FA-049-18706a6c09e0e406-c803c,2025-10-21 05:27:46,Computación Max,156416,Falabellox,Computación
PA-050-18706a6c279f5e53-b7399,2025-10-21 05:27:47,Moda Kit,105508,Parisio,Moda
RI-013-18706a6c288a32ee-7eb8e,2025-10-21 05:27:47,Moda XL,56930,Riploy,Moda
FA-016-18706a6c824d0870-4abd9,2025-10-21 05:27:48,Belleza Kit,167936,Falabellox,Belleza
RI-020-18706a6ca1119116-1e296,2025-10-21 05:27:49,Mascotas Smart,54564,Riploy,Mascotas
